province,tpye,data
香港,confirm,1108
香港,dead,4
香港,heal,1060
香港,new_confirm,1
四川,confirm,583
四川,dead,3
四川,heal,562
四川,new_confirm,1
上海,confirm,690
上海,dead,7
上海,heal,666
上海,new_confirm,1
广东,confirm,1608
广东,dead,8
广东,heal,1590
广东,new_confirm,1
内蒙古,confirm,237
内蒙古,dead,1
内蒙古,heal,231
内蒙古,new_confirm,0
台湾,confirm,443
台湾,dead,7
台湾,heal,431
台湾,new_confirm,0
福建,confirm,361
福建,dead,1
福建,heal,356
福建,new_confirm,0
山东,confirm,792
山东,dead,7
山东,heal,781
山东,new_confirm,0
天津,confirm,196
天津,dead,3
天津,heal,189
天津,new_confirm,0
北京,confirm,597
北京,dead,9
北京,heal,584
北京,new_confirm,0
海南,confirm,170
海南,dead,6
海南,heal,162
海南,new_confirm,0
陕西,confirm,311
陕西,dead,3
陕西,heal,306
陕西,new_confirm,0
甘肃,confirm,139
甘肃,dead,2
甘肃,heal,137
甘肃,new_confirm,0
河南,confirm,1276
河南,dead,22
河南,heal,1254
河南,new_confirm,0
湖南,confirm,1019
湖南,dead,4
湖南,heal,1015
湖南,new_confirm,0
浙江,confirm,1268
浙江,dead,1
浙江,heal,1267
浙江,new_confirm,0
江苏,confirm,653
江苏,dead,0
江苏,heal,653
江苏,new_confirm,0
云南,confirm,185
云南,dead,2
云南,heal,183
云南,new_confirm,0
澳门,confirm,45
澳门,dead,0
澳门,heal,45
澳门,new_confirm,0
重庆,confirm,579
重庆,dead,6
重庆,heal,573
重庆,new_confirm,0
新疆,confirm,76
新疆,dead,3
新疆,heal,73
新疆,new_confirm,0
西藏,confirm,1
西藏,dead,0
西藏,heal,1
西藏,new_confirm,0
湖北,confirm,68135
湖北,dead,4512
湖北,heal,63623
湖北,new_confirm,0
辽宁,confirm,149
辽宁,dead,2
辽宁,heal,147
辽宁,new_confirm,0
宁夏,confirm,75
宁夏,dead,0
宁夏,heal,75
宁夏,new_confirm,0
青海,confirm,18
青海,dead,0
青海,heal,18
青海,new_confirm,0
安徽,confirm,991
安徽,dead,6
安徽,heal,985
安徽,new_confirm,0
黑龙江,confirm,947
黑龙江,dead,13
黑龙江,heal,934
黑龙江,new_confirm,0
广西,confirm,254
广西,dead,2
广西,heal,252
广西,new_confirm,0
河北,confirm,328
河北,dead,6
河北,heal,322
河北,new_confirm,0
山西,confirm,198
山西,dead,0
山西,heal,198
山西,new_confirm,0
吉林,confirm,155
吉林,dead,2
吉林,heal,153
吉林,new_confirm,0
江西,confirm,932
江西,dead,1
江西,heal,931
江西,new_confirm,0
贵州,confirm,147
贵州,dead,2
贵州,heal,145
贵州,new_confirm,0
